threshold,fp,fn,tp,precision,recall,total_cost
0.05,764,22,126,0.14157303370786517,0.8513513513513513,6508.64906504065
0.1,253,23,125,0.3306878306878307,0.8445945945945946,4075.860386178862
0.15000000000000002,135,24,124,0.47876447876447875,0.8378378378378378,3608.0717073170736
0.2,79,27,121,0.605,0.8175675675675675,3694.7056707317074
0.25,58,28,120,0.6741573033707865,0.8108108108108109,3711.916991869919
0.3,44,29,119,0.7300613496932515,0.8040540540540541,3764.12831300813
0.35000000000000003,33,29,119,0.7828947368421053,0.8040540540540541,3709.12831300813
0.4,28,32,116,0.8055555555555556,0.7837837837837838,4050.7622764227644
0.45,23,35,113,0.8308823529411765,0.7635135135135135,4392.396239837399
0.5,17,36,112,0.8682170542635659,0.7567567567567568,4484.60756097561
0.55,16,39,109,0.872,0.7364864864864865,4846.241524390244
0.6000000000000001,15,40,108,0.8780487804878049,0.7297297297297297,4963.452845528455
0.6500000000000001,13,41,107,0.8916666666666667,0.722972972972973,5075.664166666667
0.7000000000000001,12,45,103,0.8956521739130435,0.6959459459459459,5559.509451219513
0.7500000000000001,10,49,99,0.908256880733945,0.668918918918919,6038.354735772358
0.8,8,57,91,0.9191919191919192,0.6148648648648649,7006.045304878049
0.8500000000000001,7,64,84,0.9230769230769231,0.5675675675675675,7856.524552845529
0.9000000000000001,3,68,80,0.963855421686747,0.5405405405405406,8325.369837398375
